votering_id,parti,n_ja,n_nej,n_avstar,n_franvarande,position,cohesion,seats
E74BCFA3-1FEE-4B09-8AF3-9A3E41BBB9F0,MP,13,0,0,5,Ja,1.0,18
105A2F2E-4287-4687-B758-77E420F49306,KD,15,0,0,4,Ja,1.0,19
8173A260-3866-49B2-AE0B-15A98EB4BC0D,SD,69,0,0,1,Ja,1.0,70
93637AAC-8A78-4395-A5E9-5D7EA89C3FD1,V,0,20,0,4,Nej,1.0,24
DC5797D0-04F0-4006-8045-A50B78B7DC98,L,14,0,0,2,Ja,1.0,16
B60E2FFB-2ED6-4040-8375-6429A32E668C,C,21,0,0,3,Ja,1.0,24
BCE9A68E-4878-4CDA-B353-E8C60B82BE7C,S,0,89,0,17,Nej,1.0,106
6FC00699-0CEC-4744-8F92-97A3EA892093,S,0,90,0,16,Nej,1.0,106
B0203470-488D-4B8F-AC8E-9034CEBD4B91,L,13,0,0,3,Ja,1.0,16
4FEE2E83-6959-4E79-828A-1508CB894859,MP,15,0,0,3,Ja,1.0,18
67DF1B0D-4CCB-4E9D-8A20-0C0B2AB7DF19,SD,62,0,0,9,Ja,1.0,71
BD138E34-D5E8-4E54-9A0E-D7A1B7B187E6,KD,16,0,0,3,Ja,1.0,19
7911EA1F-FF0F-4AC3-8172-EB93BC73EABE,V,0,19,0,5,Nej,1.0,24
192BBE58-0089-4A70-8173-46D4F113413F,S,93,0,0,13,Ja,1.0,106
33268F14-E7D3-47FD-9535-E97DD1C0F991,C,19,0,0,5,Ja,1.0,24
935AD955-403E-4015-AE58-DFC18679E983,KD,16,0,0,3,Ja,1.0,19
21969A13-0A84-4B2C-B428-098C007490A9,SD,0,63,0,9,Nej,1.0,72
2A979365-C80B-464D-B7A3-DE2993C13AD1,S,90,0,0,16,Ja,1.0,106
C90016D1-1E61-4A2F-8959-EFFA2CDFF550,V,17,0,0,5,Ja,1.0,22
A2664CC6-5D98-44F4-84C2-205F85FD8160,KD,14,0,0,5,Ja,1.0,19
852CBE28-7E5B-44F8-AF4C-3795484787B0,V,0,0,21,3,Avstår,1.0,24
CE8B2BF8-AFA8-472C-B924-84658D3D893E,S,86,1,0,19,Ja,0.9885057471264368,106
FDF83CFE-65EE-41C3-ADC7-72B0073F494A,MP,0,14,0,4,Nej,1.0,18
56A75E3C-F8CC-4383-963E-6884920A90B6,SD,63,0,0,9,Ja,1.0,72
338D1580-29AC-4525-AF97-7EF71BAB7674,MP,0,0,14,4,Avstår,1.0,18
